Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-11-11T13:43:39.413333+00:00,FALSE,,54.895175,-2.937272,,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2020-11-11T15:03:22.560000+00:00,FALSE,,54.631416,-3.564639,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Person search,2020-11-11T15:05:16.536666+00:00,FALSE,,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-11-11T15:16:02.510000+00:00,FALSE,,54.631416,-3.564639,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Vehicle search,2020-11-11T16:06:13.646666+00:00,FALSE,,54.116548,-3.199902,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,
Person and Vehicle search,2020-11-11T16:42:10.986666+00:00,FALSE,,54.763614,-2.834343,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-11-11T16:51:24.470000+00:00,FALSE,,54.887292,-2.92348,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,TRUE,FALSE
Person search,2020-11-11T18:12:45.300000+00:00,FALSE,,54.707021,-3.489027,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,TRUE,TRUE
Person and Vehicle search,2020-11-11T20:27:50.336666+00:00,FALSE,,54.884168,-2.906215,,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-11-11T21:16:13.696666+00:00,FALSE,,54.895896,-2.935808,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Person search,2020-11-11T21:58:18.573333+00:00,FALSE,,54.895896,-2.935808,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Person search,2020-11-12T13:33:13.606666+00:00,FALSE,,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,TRUE
Vehicle search,2020-11-12T14:18:07.503333+00:00,FALSE,,54.992788,-3.047411,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-11-13T00:19:56.443333+00:00,FALSE,,54.642583,-3.555274,,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Vehicle search,2020-11-13T10:57:54.250000+00:00,FALSE,,54.52293,-3.580033,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person and Vehicle search,2020-11-13T17:55:11.993333+00:00,FALSE,,54.657463,-2.729705,,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-11-13T19:53:44+00:00,FALSE,,54.633504,-3.557453,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,TRUE,FALSE
Person search,2020-11-13T22:51:29.646666+00:00,FALSE,,54.645408,-3.540225,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,TRUE
